Left Hand
==============
     JOINT_MIDDLE_JT2)	X: 0.021790 Y: 0.077098 Z: 0.231441 288.277435 90.298615
     JOINT_MIDDLE_TIP)	X: 0.020432 Y: 0.096123 Z: 0.225425 289.176788 50.426407
     JOINT_RING_BASE)	X: 0.006202 Y: 0.001150 Z: 0.256969 319.833862 242.150101
     JOINT_RING_JT1)	X: -0.000710 Y: 0.042547 Z: 0.247615 332.901978 164.572998
     JOINT_RING_JT2)	X: -0.004247 Y: 0.063727 Z: 0.242830 339.956512 122.694733
     JOINT_RING_TIP)	X: -0.007462 Y: 0.082982 Z: 0.238479 346.696808 83.121292
     JOINT_PINKY_BASE)	X: -0.018154 Y: -0.010883 Z: 0.261288 363.398865 264.337616
     JOINT_PINKY_JT1)	X: -0.031910 Y: 0.022649 Z: 0.253848 390.335724 203.516846
     JOINT_PINKY_JT2)	X: -0.038231 Y: 0.038055 Z: 0.250430 402.851074 175.258423
     JOINT_PINKY_TIP)	X: -0.040357 Y: 0.047921 Z: 0.261527 415.120178 160.982880
Left Hand
==============
     JOINT_WRIST)	X: 0.004036 Y: -0.078762 Z: 0.274426 322.509399 375.476746
     JOINT_CENTER)	X: 0.001332 Y: -0.038347 Z: 0.263322 328.081268 310.818329
     JOINT_THUMB_BASE)	X: 0.022238 Y: -0.070070 Z: 0.267584 290.942291 362.297729
     JOINT_THUMB_JT1)	X: 0.059561 Y: -0.076917 Z: 0.265562 229.616867 391.035461
     JOINT_THUMB_JT2)	X: 0.085692 Y: -0.078337 Z: 0.284834 196.726349 370.564331
     JOINT_THUMB_TIP)	X: 0.106411 Y: -0.074477 Z: 0.290408 160.421341 371.086670
     JOINT_INDEX_BASE)	X: 0.023205 Y: 0.000416 Z: 0.246871 287.790466 241.764648
     JOINT_INDEX_JT1)	X: 0.011441 Y: 0.039388 Z: 0.230174 307.561371 161.860641
     JOINT_INDEX_JT2)	X: 0.005559 Y: 0.058874 Z: 0.221825 319.450714 122.354668
     JOINT_INDEX_TIP)	X: 0.000212 Y: 0.076589 Z: 0.214236 331.629333 89.204483
     JOINT_MIDDLE_BASE)	X: -0.001243 Y: 0.000143 Z: 0.252746 333.868500 243.660660
     JOINT_MIDDLE_JT1)	X: -0.010133 Y: 0.043183 Z: 0.233444 351.199554 157.221115
     JOINT_MIDDLE_JT2)	X: -0.015318 Y: 0.068289 Z: 0.222184 362.534607 100.686935
     JOINT_MIDDLE_TIP)	X: -0.019023 Y: 0.086222 Z: 0.214142 374.615570 62.562378
     JOINT_RING_BASE)	X: -0.021083 Y: -0.004437 Z: 0.258782 369.937836 252.972992
     JOINT_RING_JT1)	X: -0.032681 Y: 0.034547 Z: 0.244827 393.935913 178.575729
     JOINT_RING_JT2)	X: -0.038520 Y: 0.054672 Z: 0.238125 407.177490 137.525024
     JOINT_RING_TIP)	X: -0.043829 Y: 0.072966 Z: 0.232033 420.247864 98.342209
     JOINT_PINKY_BASE)	X: -0.043605 Y: -0.017350 Z: 0.267874 408.518158 276.458344
     JOINT_PINKY_JT1)	X: -0.061220 Y: 0.014000 Z: 0.259162 441.098389 219.403152
     JOINT_PINKY_JT2)	X: -0.069313 Y: 0.028404 Z: 0.255159 456.383667 192.635208
     JOINT_PINKY_TIP)	X: -0.076454 Y: 0.041113 Z: 0.251627 475.173584 183.019653
Right Hand
==============
     JOINT_WRIST)	X: 0.004551 Y: -0.057860 Z: 0.287735 290.809021 358.186462
     JOINT_CENTER)	X: -0.004626 Y: -0.017237 Z: 0.282300 308.951050 274.046692
     JOINT_THUMB_BASE)	X: 0.019509 Y: -0.044274 Z: 0.294467 312.879791 324.569122
     JOINT_THUMB_JT1)	X: 0.016396 Y: -0.017931 Z: 0.267258 350.152985 288.912476
     JOINT_THUMB_JT2)	X: -0.000883 Y: -0.024214 Z: 0.240458 383.492920 247.216919
     JOINT_THUMB_TIP)	X: -0.015260 Y: -0.019779 Z: 0.224682 397.960693 218.966644
     JOINT_INDEX_BASE)	X: 0.008627 Y: 0.028042 Z: 0.287379 342.226929 211.967773
     JOINT_INDEX_JT1)	X: 0.025757 Y: 0.015684 Z: 0.248781 399.193512 242.804382
     JOINT_INDEX_JT2)	X: 0.020722 Y: -0.004848 Z: 0.254870 376.077667 272.360046
     JOINT_INDEX_TIP)	X: 0.016144 Y: -0.023514 Z: 0.260404 354.795105 299.571655
     JOINT_MIDDLE_BASE)	X: -0.013366 Y: 0.021452 Z: 0.277124 323.594818 207.730316
     JOINT_MIDDLE_JT1)	X: -0.028519 Y: 0.066644 Z: 0.271463 375.207397 142.010223
     JOINT_MIDDLE_JT2)	X: -0.026253 Y: 0.085326 Z: 0.250730 411.422577 101.930511
     JOINT_MIDDLE_TIP)	X: -0.016554 Y: 0.080485 Z: 0.233923 448.001709 108.532333
     JOINT_RING_BASE)	X: -0.030487 Y: 0.011646 Z: 0.269265 304.046539 211.788925
     JOINT_RING_JT1)	X: -0.042799 Y: 0.051108 Z: 0.257423 367.746338 163.589676
     JOINT_RING_JT2)	X: -0.036834 Y: 0.058299 Z: 0.237506 404.437073 137.693634
     JOINT_RING_TIP)	X: -0.025985 Y: 0.046570 Z: 0.225475 436.755798 147.679779
     JOINT_PINKY_BASE)	X: -0.048636 Y: -0.007371 Z: 0.261165 274.277405 232.622177
     JOINT_PINKY_JT1)	X: -0.028280 Y: -0.003304 Z: 0.230536 343.184540 258.638672
     JOINT_PINKY_JT2)	X: -0.020473 Y: -0.018177 Z: 0.227918 375.559570 270.862183
     JOINT_PINKY_TIP)	X: -0.022715 Y: -0.029593 Z: 0.237386 382.858429 291.247314
Right Hand
==============
     JOINT_WRIST)	X: -0.007377 Y: -0.067896 Z: 0.273373 313.497284 355.039368
     JOINT_CENTER)	X: -0.027216 Y: -0.030951 Z: 0.275710 357.661804 289.885071
     JOINT_THUMB_BASE)	X: -0.011259 Y: -0.060998 Z: 0.293148 355.754272 342.753906
     JOINT_THUMB_JT1)	X: -0.005494 Y: -0.023821 Z: 0.287791 404.597229 330.349823
     JOINT_THUMB_JT2)	X: 0.008366 Y: -0.013316 Z: 0.260336 445.184204 324.568695
     JOINT_THUMB_TIP)	X: 0.010583 Y: -0.000263 Z: 0.243018 461.838806 313.013885
     JOINT_INDEX_BASE)	X: -0.045744 Y: 0.003119 Z: 0.303053 423.132324 245.941055
     JOINT_INDEX_JT1)	X: -0.070390 Y: 0.039192 Z: 0.297827 462.561218 181.284927
     JOINT_INDEX_JT2)	X: -0.082058 Y: 0.057658 Z: 0.295213 486.699249 148.264557
     JOINT_INDEX_TIP)	X: -0.092665 Y: 0.074446 Z: 0.292836 516.908936 124.863174
     JOINT_MIDDLE_BASE)	X: -0.046111 Y: 0.004235 Z: 0.277935 391.817535 231.763153
     JOINT_MIDDLE_JT1)	X: 0.000570 Y: 0.015322 Z: 0.276541 448.676025 243.162872
     JOINT_MIDDLE_JT2)	X: 0.004951 Y: -0.012065 Z: 0.272696 451.568359 299.159058
     JOINT_MIDDLE_TIP)	X: 0.008081 Y: -0.031627 Z: 0.269950 425.675781 327.077271
     JOINT_RING_BASE)	X: -0.044276 Y: 0.001172 Z: 0.257000 359.861877 226.168228
     JOINT_RING_JT1)	X: -0.045014 Y: 0.044164 Z: 0.256643 396.408997 155.529694
     JOINT_RING_JT2)	X: -0.045391 Y: 0.066160 Z: 0.256460 416.271423 117.139511
     JOINT_RING_TIP)	X: -0.045735 Y: 0.086157 Z: 0.256294 443.658081 88.626205
     JOINT_PINKY_BASE)	X: -0.038416 Y: -0.009327 Z: 0.232260 312.973236 231.902191
     JOINT_PINKY_JT1)	X: -0.036415 Y: 0.027271 Z: 0.237316 359.912903 181.394379
     JOINT_PINKY_JT2)	X: -0.035495 Y: 0.044086 Z: 0.239638 382.922699 156.635468
     JOINT_PINKY_TIP)	X: -0.022125 Y: 0.050867 Z: 0.240148 404.645264 151.196747
Right Hand
==============
     JOINT_WRIST)	X: -0.038131 Y: -0.058462 Z: 0.286309 395.842682 340.274017
     JOINT_CENTER)	X: -0.048100 Y: -0.019422 Z: 0.274454 414.338654 276.410339
     JOINT_THUMB_BASE)	X: -0.058220 Y: -0.052671 Z: 0.290381 426.891785 329.132751
     JOINT_THUMB_JT1)	X: -0.087198 Y: -0.028095 Z: 0.289837 475.315796 290.445526
     JOINT_THUMB_JT2)	X: -0.113900 Y: -0.010240 Z: 0.284891 518.460754 257.261749
     JOINT_THUMB_TIP)	X: -0.126913 Y: 0.006497 Z: 0.279815 542.093689 228.107681
     JOINT_INDEX_BASE)	X: -0.081036 Y: 0.014627 Z: 0.271709 469.699127 217.359222
     JOINT_INDEX_JT1)	X: -0.104906 Y: 0.049856 Z: 0.260521 513.183228 151.593903
     JOINT_INDEX_JT2)	X: -0.116841 Y: 0.067470 Z: 0.254927 535.899231 117.238228
     JOINT_INDEX_TIP)	X: -0.127691 Y: 0.083483 Z: 0.249841 569.601807 103.792465
     JOINT_MIDDLE_BASE)	X: -0.057595 Y: 0.017758 Z: 0.263164 433.235352 211.163055
     JOINT_MIDDLE_JT1)	X: -0.074945 Y: 0.058114 Z: 0.243815 453.899078 128.042938
     JOINT_MIDDLE_JT2)	X: -0.085065 Y: 0.081655 Z: 0.232528 486.436462 87.710800
     JOINT_MIDDLE_TIP)	X: -0.084846 Y: 0.098677 Z: 0.243025 510.215240 92.200058
     JOINT_RING_BASE)	X: -0.037218 Y: 0.016129 Z: 0.257404 399.278015 213.597427
     JOINT_RING_JT1)	X: -0.057927 Y: 0.051219 Z: 0.243664 439.324585 143.469208
     JOINT_RING_JT2)	X: -0.068522 Y: 0.069173 Z: 0.236634 461.187744 105.183212
     JOINT_RING_TIP)	X: -0.078153 Y: 0.085494 Z: 0.230243 491.475220 84.452087
     JOINT_PINKY_BASE)	X: -0.011692 Y: 0.006899 Z: 0.252948 354.391418 230.433548
     JOINT_PINKY_JT1)	X: -0.029763 Y: 0.035746 Z: 0.238447 398.620056 179.173477
     JOINT_PINKY_JT2)	X: -0.038066 Y: 0.049001 Z: 0.231784 420.884918 153.368927
     JOINT_PINKY_TIP)	X: -0.045392 Y: 0.060696 Z: 0.225906 441.674255 129.274506
Right Hand
==============
     JOINT_WRIST)	X: -0.060827 Y: -0.061441 Z: 0.288938 447.963501 350.441345
     JOINT_CENTER)	X: -0.072701 Y: -0.022752 Z: 0.277705 457.645203 280.545715
     JOINT_THUMB_BASE)	X: -0.079622 Y: -0.055168 Z: 0.296753 470.176483 334.794617
     JOINT_THUMB_JT1)	X: -0.107514 Y: -0.029773 Z: 0.301349 499.378601 292.292480
     JOINT_THUMB_JT2)	X: -0.135987 Y: -0.014377 Z: 0.298429 544.397827 265.573822
     JOINT_THUMB_TIP)	X: -0.151255 Y: 0.000177 Z: 0.292925 570.908447 240.816254
     JOINT_INDEX_BASE)	X: -0.105245 Y: 0.011687 Z: 0.280258 492.151093 218.508331
     JOINT_INDEX_JT1)	X: -0.132746 Y: 0.044781 Z: 0.271065 546.596375 163.814056
     JOINT_INDEX_JT2)	X: -0.146497 Y: 0.061327 Z: 0.266469 576.038208 134.237595
     JOINT_INDEX_TIP)	X: -0.158997 Y: 0.076370 Z: 0.262291 613.222534 132.822601
     JOINT_MIDDLE_BASE)	X: -0.084010 Y: 0.014095 Z: 0.267008 466.911194 213.651337
